cell_name,cell_type,cell_type_pooled
X1772067056_F02,IFE-KI,IFE-K
X1772067056_F10,IFE-DII,IFE-D
X1772067071_B02,IFE-B,IFE-B
X1772067071_B03,IFE-B,IFE-B
X1772067071_B04,IFE-B,IFE-B
X1772067071_B06,IFE-DII,IFE-D
X1772067071_B07,IFE-B,IFE-B
X1772067071_B10,IFE-B,IFE-B
X1772067071_C01,IFE-B,IFE-B
X1772067071_C04,IFE-B,IFE-B
X1772067071_C05,IFE-B,IFE-B
X1772067071_C10,IFE-B,IFE-B
X1772067071_C11,IFE-DI,IFE-D
X1772067071_D03,IFE-DI,IFE-D
X1772067071_D09,IFE-B,IFE-B
X1772067071_D11,IFE-B,IFE-B
X1772067071_F01,IFE-B,IFE-B
X1772067071_F06,IFE-DI,IFE-D
X1772067071_F07,IFE-B,IFE-B
X1772067071_G02,IFE-DI,IFE-D
X1772067071_G03,IFE-B,IFE-B
X1772067071_G06,IFE-B,IFE-B
X1772067071_G07,IFE-B,IFE-B
X1772067071_G12,IFE-B,IFE-B
X1772067071_H02,IFE-B,IFE-B
X1772067071_H04,IFE-B,IFE-B
X1772067071_H09,IFE-B,IFE-B
X1772067071_H11,IFE-B,IFE-B
X1772067072_A06,IFE-B,IFE-B
X1772067072_A08,IFE-DII,IFE-D
X1772067072_A09,IFE-DI,IFE-D
X1772067072_A10,IFE-DI,IFE-D
X1772067072_B02,IFE-DII,IFE-D
X1772067072_B04,IFE-KII,IFE-K
X1772067072_C04,IFE-KI,IFE-K
X1772067072_C10,IFE-B,IFE-B
X1772067072_C11,IFE-B,IFE-B
X1772067072_D01,IFE-DI,IFE-D
X1772067072_D04,IFE-B,IFE-B
X1772067072_E02,IFE-DII,IFE-D
X1772067072_E05,IFE-KI,IFE-K
X1772067072_E07,IFE-DI,IFE-D
X1772067072_G11,IFE-DI,IFE-D
X1772067075_A01,IFE-B,IFE-B
X1772067075_A04,IFE-DII,IFE-D
X1772067075_A05,IFE-B,IFE-B
X1772067075_A09,IFE-DII,IFE-D
X1772067075_A10,IFE-B,IFE-B
X1772067075_A12,IFE-B,IFE-B
X1772067075_B03,IFE-DI,IFE-D
X1772067075_B04,IFE-B,IFE-B
X1772067075_B06,IFE-DI,IFE-D
X1772067075_B10,IFE-B,IFE-B
X1772067075_C01,IFE-DII,IFE-D
X1772067075_C02,IFE-B,IFE-B
X1772067075_C03,IFE-B,IFE-B
X1772067075_C05,IFE-B,IFE-B
X1772067075_C08,IFE-KII,IFE-K
X1772067075_C09,IFE-B,IFE-B
X1772067075_C10,IFE-B,IFE-B
X1772067075_C11,IFE-B,IFE-B
X1772067075_D01,IFE-B,IFE-B
X1772067075_D02,IFE-B,IFE-B
X1772067075_D05,IFE-B,IFE-B
X1772067075_D07,IFE-B,IFE-B
X1772067075_D12,IFE-B,IFE-B
X1772067075_E01,IFE-B,IFE-B
X1772067075_E03,IFE-DI,IFE-D
X1772067075_E05,IFE-B,IFE-B
X1772067075_E06,IFE-DII,IFE-D
X1772067075_E11,IFE-B,IFE-B
X1772067075_E12,IFE-B,IFE-B
X1772067075_F02,IFE-KI,IFE-K
X1772067075_F06,IFE-B,IFE-B
X1772067075_F07,IFE-B,IFE-B
X1772067075_F10,IFE-B,IFE-B
X1772067075_F11,IFE-DI,IFE-D
X1772067075_F12,IFE-DI,IFE-D
X1772067075_G01,IFE-B,IFE-B
X1772067075_G05,IFE-B,IFE-B
X1772067075_G06,IFE-B,IFE-B
X1772067075_G07,IFE-B,IFE-B
X1772067075_G11,IFE-B,IFE-B
X1772067075_G12,IFE-DI,IFE-D
X1772067075_H05,IFE-B,IFE-B
X1772067075_H10,IFE-DI,IFE-D
X1772067075_H11,IFE-B,IFE-B
X1772067075_H12,IFE-B,IFE-B
X1772067078_A01,IFE-B,IFE-B
X1772067078_A04,IFE-B,IFE-B
X1772067078_A06,IFE-B,IFE-B
X1772067078_A09,IFE-DII,IFE-D
X1772067078_A10,IFE-DII,IFE-D
X1772067078_B01,IFE-B,IFE-B
X1772067078_B02,IFE-DII,IFE-D
X1772067078_B06,IFE-B,IFE-B
X1772067078_B10,IFE-B,IFE-B
X1772067078_B12,IFE-B,IFE-B
X1772067078_C01,IFE-DI,IFE-D
X1772067078_C03,IFE-KI,IFE-K
X1772067078_C04,IFE-B,IFE-B
X1772067078_C05,IFE-B,IFE-B
X1772067078_C07,IFE-B,IFE-B
X1772067078_C10,IFE-DI,IFE-D
X1772067078_C12,IFE-B,IFE-B
X1772067078_D01,IFE-DII,IFE-D
X1772067078_D02,IFE-KI,IFE-K
X1772067078_D03,IFE-DII,IFE-D
X1772067078_D05,IFE-DI,IFE-D
X1772067078_D06,IFE-DI,IFE-D
X1772067078_D07,IFE-B,IFE-B
X1772067078_D08,IFE-DII,IFE-D
X1772067078_D11,IFE-B,IFE-B
X1772067078_E02,IFE-DII,IFE-D
X1772067078_E04,IFE-B,IFE-B
X1772067078_E06,IFE-B,IFE-B
X1772067078_E07,IFE-DII,IFE-D
X1772067078_E12,IFE-B,IFE-B
X1772067078_F01,IFE-B,IFE-B
X1772067078_F04,IFE-B,IFE-B
X1772067078_F10,IFE-B,IFE-B
X1772067078_F11,IFE-B,IFE-B
X1772067078_G03,IFE-B,IFE-B
X1772067078_G05,IFE-B,IFE-B
X1772067078_G08,IFE-KI,IFE-K
X1772067078_G12,IFE-B,IFE-B
X1772067078_H02,IFE-B,IFE-B
X1772067078_H04,IFE-DII,IFE-D
X1772067078_H05,IFE-DI,IFE-D
X1772067078_H06,IFE-B,IFE-B
X1772067078_H08,IFE-B,IFE-B
X1772067078_H10,IFE-B,IFE-B
X1772067078_H11,IFE-B,IFE-B
X1772067078_H12,IFE-DII,IFE-D
X1772067080_A07,IFE-KI,IFE-K
X1772067080_A08,IFE-KI,IFE-K
X1772067080_B08,IFE-B,IFE-B
X1772067080_C07,IFE-KI,IFE-K
X1772067080_D08,IFE-DII,IFE-D
X1772067080_E01,IFE-KII,IFE-K
X1772067080_E04,IFE-B,IFE-B
X1772067080_F02,IFE-DI,IFE-D
X1772067080_F09,IFE-DII,IFE-D
X1772067080_H01,IFE-KII,IFE-K
X1772067084_A01,IFE-B,IFE-B
